monarch	regnalyearnumber	regnalyeardaterangetext
Geo. 2	6	1732-06-11J11/1733-06-10J11
Geo. 2	34	1760-06-11/1760-10-25
Geo. 2	33	1759-06-11/1760-06-10
Geo. 2	32	1758-06-11/1759-06-10
Geo. 2	31	1757-06-11/1758-06-10
Geo. 2	30	1756-06-11/1757-06-10
Geo. 2	29	1755-06-11/1756-06-10
Geo. 2	28	1754-06-11/1755-06-10
Geo. 2	27	1753-06-11/1754-06-10
Geo. 2	26	1752-06-11J11/1753-06-10
Geo. 2	25	1751-06-11J11/1752-06-10J11
Geo. 3	48	1807-10-25/1808-10-24
Geo. 3	49	1808-10-25/1809-10-24
Geo. 3	50	1809-10-25/1810-10-24
Geo. 3	51	1810-10-25/1811-10-24
Geo. 3	52	1811-10-25/1812-10-24
Geo. 3	53	1812-10-25/1813-10-24
Geo. 3	54	1813-10-25/1814-10-24
Geo. 3	55	1814-10-25/1815-10-24
Geo. 3	56	1815-10-25/1816-10-24
Geo. 3	57	1816-10-25/1817-10-24
Geo. 3	58	1817-10-25/1818-10-24
Geo. 3	59	1818-10-25/1819-10-24
Geo. 3	60	1819-10-25/1820-01-29
Geo. 3	10	1769-10-25/1770-10-24
Geo. 3	33	1792-10-25/1793-10-24
Geo. 3	32	1791-10-25/1792-10-24
Geo. 3	31	1790-10-25/1791-10-24
Geo. 3	30	1789-10-25/1790-10-24
Geo. 3	29	1788-10-25/1789-10-24
Geo. 3	28	1787-10-25/1788-10-24
Geo. 3	27	1786-10-25/1787-10-24
Geo. 3	26	1785-10-25/1786-10-24
Geo. 3	25	1784-10-25/1785-10-24
Geo. 3	24	1783-10-25/1784-10-24
Geo. 3	23	1782-10-25/1783-10-24
Geo. 3	22	1781-10-25/1782-10-24
Geo. 3	21	1780-10-25/1781-10-24
Geo. 3	20	1779-10-25/1780-10-24
Geo. 3	19	1778-10-25/1779-10-24
Geo. 3	18	1777-10-25/1778-10-24
Geo. 3	17	1776-10-25/1777-10-24
Geo. 3	16	1775-10-25/1776-10-24
Geo. 3	15	1774-10-25/1775-10-24
Geo. 3	14	1773-10-25/1774-10-24
Geo. 3	13	1772-10-25/1773-10-24
Geo. 3	12	1771-10-25/1772-10-24
Geo. 3	11	1770-10-25/1771-10-24
Geo. 3	34	1793-10-25/1794-10-24
Geo. 3	9	1768-10-25/1769-10-24
Geo. 3	8	1767-10-25/1768-10-24
Geo. 3	7	1766-10-25/1767-10-24
Geo. 3	6	1765-10-25/1766-10-24
Geo. 3	5	1764-10-25/1765-10-24
Geo. 3	4	1763-10-25/1764-10-24
Geo. 3	3	1762-10-25/1763-10-24
Geo. 3	2	1761-10-25/1762-10-24
Geo. 3	1	1760-10-25/1761-10-24
Geo. 3	35	1794-10-25/1795-10-24
Geo. 3	36	1795-10-25/1796-10-24
Geo. 3	37	1796-10-25/1797-10-24
Geo. 3	38	1797-10-25/1798-10-24
Geo. 3	39	1798-10-25/1799-10-24
Geo. 3	40	1799-10-25/1800-10-24
Geo. 3	41	1800-10-25/1801-10-24
Geo. 3	42	1801-10-25/1802-10-24
Geo. 3	43	1802-10-25/1803-10-24
Geo. 3	44	1803-10-25/1804-10-24
Geo. 3	45	1804-10-25/1805-10-24
Geo. 3	46	1805-10-25/1806-10-24
Geo. 3	47	1806-10-25/1807-10-24
Geo. 4	1	1820-01-29/1821-01-28
Geo. 4	2	1821-01-29/1822-01-28
Geo. 4	3	1822-01-29/1823-01-28
Geo. 4	4	1823-01-29/1824-01-28
Geo. 4	5	1824-01-29/1825-01-28
Geo. 4	6	1825-01-29/1826-01-28
Geo. 4	7	1826-01-29/1827-01-28
Geo. 4	8	1827-01-29/1828-01-28
Geo. 4	9	1828-01-29/1829-01-28
Geo. 4	10	1829-01-29/1830-01-28
Geo. 4	11	1830-01-29/1830-06-26
Geo. 5	1	1910-05-06/1911-05-05
Geo. 5	2	1911-05-06/1912-05-05
Geo. 5	3	1912-05-06/1913-05-05
Geo. 5	4	1913-05-06/1914-05-05
Geo. 5	5	1914-05-06/1915-05-05
Geo. 5	6	1915-05-06/1916-05-05
Geo. 5	7	1916-05-06/1917-05-05
Geo. 5	8	1917-05-06/1918-05-05
Geo. 5	9	1918-05-06/1919-05-05
Geo. 5	10	1919-05-06/1920-05-05
Geo. 5	11	1920-05-06/1921-05-05
Geo. 5	12	1921-05-06/1922-05-05
Geo. 5	13	1922-05-06/1923-05-05
Geo. 5	14	1923-05-06/1924-05-05
Geo. 5	15	1924-05-06/1925-05-05
Geo. 5	16	1925-05-06/1926-05-05
Geo. 5	17	1926-05-06/1927-05-05
Geo. 5	18	1927-05-06/1928-05-05
Geo. 5	19	1928-05-06/1929-05-05
Geo. 5	20	1929-05-06/1930-05-05
Geo. 5	21	1930-05-06/1931-05-05
Geo. 5	22	1931-05-06/1932-05-05
Geo. 5	23	1932-05-06/1933-05-05
Geo. 5	24	1933-05-06/1934-05-05
Geo. 5	25	1934-05-06/1935-05-05
Geo. 5	26	1935-05-06/1936-01-20
Geo. 6	1	1936-12-11/1937-12-10
Geo. 6	2	1937-12-11/1938-12-10
Geo. 6	3	1938-12-11/1939-12-10
Geo. 6	4	1939-12-11/1940-12-10
Geo. 6	5	1940-12-11/1941-12-10
Geo. 6	6	1941-12-11/1942-12-10
Geo. 6	7	1942-12-11/1943-12-10
Geo. 6	8	1943-12-11/1944-12-10
Geo. 6	9	1944-12-11/1945-12-10
Geo. 6	10	1945-12-11/1946-12-10
Geo. 6	11	1946-12-11/1947-12-10
Geo. 6	12	1947-12-11/1948-12-10
Geo. 6	13	1948-12-11/1949-12-10
Geo. 6	14	1949-12-11/1950-12-10
Geo. 6	15	1950-12-11/1951-12-10
Geo. 6	16	1951-12-11/1952-02-05
Hen.	1	1100-08-05J11/1101-08-04J11
Hen.	36	1135-08-05J11/1135-12-01J11
Hen.	35	1134-08-05J11/1135-08-04J11
Hen.	34	1133-08-05J11/1134-08-04J11
Hen.	33	1132-08-05J11/1133-08-04J11
Hen.	32	1131-08-05J11/1132-08-04J11
Hen.	31	1130-08-05J11/1131-08-04J11
Hen.	30	1129-08-05J11/1130-08-04J11
Hen.	29	1128-08-05J11/1129-08-04J11
Hen.	28	1127-08-05J11/1128-08-04J11
Hen.	27	1126-08-05J11/1127-08-04J11
Hen.	26	1125-08-05J11/1126-08-04J11
Hen.	25	1124-08-05J11/1125-08-04J11
Hen.	24	1123-08-05J11/1124-08-04J11
Hen.	23	1122-08-05J11/1123-08-04J11
Hen.	22	1121-08-05J11/1122-08-04J11
Hen.	21	1120-08-05J11/1121-08-04J11
Hen.	20	1119-08-05J11/1120-08-04J11
Hen.	19	1118-08-05J11/1119-08-04J11
Hen.	18	1117-08-05J11/1118-08-04J11
Hen.	17	1116-08-05J11/1117-08-04J11
Hen.	16	1115-08-05J11/1116-08-04J11
Hen.	15	1114-08-05J11/1115-08-04J11
Hen.	14	1113-08-05J11/1114-08-04J11
Hen.	13	1112-08-05J11/1113-08-04J11
Hen.	12	1111-08-05J11/1112-08-04J11
Hen.	11	1110-08-05J11/1111-08-04J11
Hen.	10	1109-08-05J11/1110-08-04J11
Hen.	9	1108-08-05J11/1109-08-04J11
Hen.	8	1107-08-05J11/1108-08-04J11
Hen.	7	1106-08-05J11/1107-08-04J11
Hen.	6	1105-08-05J11/1106-08-04J11
Hen.	5	1104-08-05J11/1105-08-04J11
Hen.	4	1103-08-05J11/1104-08-04J11
Hen.	3	1102-08-05J11/1103-08-04J11
Hen.	2	1101-08-05J11/1102-08-04J11
Hen. 2	34	1187-12-19J11/1188-12-18J11
Hen. 2	1	1154-12-19J11/1155-12-18J11
Hen. 2	2	1155-12-19J11/1156-12-18J11
Hen. 2	3	1156-12-19J11/1157-12-18J11
Hen. 2	4	1157-12-19J11/1158-12-18J11
Hen. 2	5	1158-12-19J11/1159-12-18J11
Hen. 2	6	1159-12-19J11/1160-12-18J11
Hen. 2	7	1160-12-19J11/1161-12-18J11
Hen. 2	8	1161-12-19J11/1162-12-18J11
Hen. 2	9	1162-12-19J11/1163-12-18J11
Hen. 2	10	1163-12-19J11/1164-12-18J11
Hen. 2	11	1164-12-19J11/1165-12-18J11
Hen. 2	12	1165-12-19J11/1166-12-18J11
Hen. 2	13	1166-12-19J11/1167-12-18J11
Hen. 2	14	1167-12-19J11/1168-12-18J11
Hen. 2	15	1168-12-19J11/1169-12-18J11
Hen. 2	16	1169-12-19J11/1170-12-18J11
Hen. 2	17	1170-12-19J11/1171-12-18J11
Hen. 2	18	1171-12-19J11/1172-12-18J11
Hen. 2	19	1172-12-19J11/1173-12-18J11
Hen. 2	20	1173-12-19J11/1174-12-18J11
